,ratio,vsense,Current [mA],Voltage [mV],Power [mW]
0,1.619224,-1.668911e-06,-1.6203019417475726e-07,-2.702340745064e-06,4.378607956490781e-13
1,-0.6231357,4.248138e-06,4.124405825242718e-07,-2.6471664463265997e-06,-1.0917988711616491e-12
2,-0.8836932,3.034384e-06,2.946003883495146e-07,-2.6814645069888e-06,-7.899604851043401e-13
3,0.9480723,-3.034384e-06,-2.946003883495146e-07,-2.8768154179632e-06,8.475109393418298e-13
4,-8.97945,3.034384e-07,2.9460038834951454e-08,-2.72470994088e-06,-8.027006067230308e-14
5,-0.9259574,3.034384e-06,2.946003883495146e-07,-2.8097103192416003e-06,-8.27741751198214e-13
6,-3.660582,7.58596e-07,7.365009708737864e-08,-2.7769028628719997e-06,-2.0451916545274248e-13
7,-0.5764801,5.158453e-06,5.008206796116504e-07,-2.9737455012853e-06,-1.489313242945792e-12
8,-1.129803,2.427507e-06,2.3568029126213592e-07,-2.742604691121e-06,-6.463778724202976e-13
9,-3.646822,7.58596e-07,7.365009708737864e-08,-2.766464581912e-06,-2.0375038504661316e-13
10,1.224126,-2.275788e-06,-2.209502912621359e-07,-2.785851261288e-06,6.155346475945723e-13
11,0.724372,-3.944699e-06,-3.829804854368932e-07,-2.857429504028e-06,1.0943397385543445e-12
12,1.590129,-1.97235e-06,-1.914902912621359e-07,-3.1362909331499998e-06,6.005692642716894e-13
13,-1.359528,1.97235e-06,1.914902912621359e-07,-2.6814650508e-06,-5.1347452358693e-13
14,-0.9878793,3.034384e-06,2.946003883495146e-07,-2.9976051418512e-06,-8.830956389078653e-13
15,-0.8099225,3.641261e-06,3.535204854368932e-07,-2.9491392122725e-06,-1.042581125943551e-12
16,19.04498,-1.517192e-07,-1.4730019417475727e-08,-2.889489129616e-06,4.256223098582872e-14
17,-0.9009749,2.882665e-06,2.7987038834951455e-07,-2.5972088101085e-06,-7.268818383098466e-13
18,-1.189083,2.427507e-06,2.3568029126213592e-07,-2.886507306081e-06,-6.802928826274534e-13
19,-7425949000000000.0,4.013568e-22,3.8966679611650484e-23,-2.9804551276031997e-06,-1.1613844005421474e-28
20,-0.7142276,3.79298e-06,3.682504854368932e-07,-2.7090510022479998e-06,-9.976093466511278e-13
21,-1.45895,1.97235e-06,1.914902912621359e-07,-2.8775600325e-06,-5.510248087477061e-13
22,-1.203484,2.275788e-06,2.209502912621359e-07,-2.738874445392e-06,-6.051551064397833e-13
23,-0.5060877,5.158453e-06,5.008206796116504e-07,-2.6106296143281e-06,-1.3074572976620998e-12
24,-4.906222,6.068768e-07,5.892007766990291e-08,-2.9774723074495995e-06,-1.7543289961491544e-13
25,-1.926122,1.517192e-06,1.473001941747573e-07,-2.922296889424e-06,-4.3045489924844447e-13
26,-1.148699,2.730946e-06,2.651403883495145e-07,-3.1370349392539998e-06,-8.317546620598012e-13
27,-1.072305,2.579227e-06,2.5041038834951455e-07,-2.765718008235e-06,-6.925645205073723e-13
28,1.481422,-1.82063e-06,-1.7676019417475726e-07,-2.69712133586e-06,4.767436910394943e-13
29,-1.929727,1.668911e-06,1.6203019417475726e-07,-3.2205426172969996e-06,-5.218251456287138e-13
30,5.139658,-6.068768e-07,-5.892007766990291e-08,-3.1191392001344e-06,1.8377992393515767e-13
31,-0.8795309,3.337823e-06,3.240604854368932e-07,-2.9357184672307e-06,-9.513503515968326e-13
32,-0.8279421,3.641261e-06,3.535204854368932e-07,-3.0147532789881e-06,-1.0657770426603386e-12
33,-1.64196,1.82063e-06,1.7676019417475726e-07,-2.9894016348e-06,-5.284072134335848e-13
34,-3.046389,9.103152e-07,8.838011650485436e-08,-2.7731742118128e-06,-2.450934599282729e-13
35,-1.50026,1.82063e-06,1.7676019417475726e-07,-2.7314183637999998e-06,-4.828060403577857e-13
36,-4.939214e-06,0.6091634,0.05914207766990291,-3.0087883935676e-06,-1.7794599686467742e-07
37,60.98758,-0.02554178,-0.002479784466019417,-1.5577313510924,0.0038628380066703725
38,-109.5599,0.01290994,0.0012533922330097086,-1.414411735406,-0.0017728126834356634
39,-64.94145,0.02185606,0.002121947572815534,-1.419364227687,-0.0030118164778816245
40,-63.45747,0.02181115,0.0021175873786407765,-1.3840803967905002,-0.002930911179267681
41,34.14923,-0.04131678,-0.004011337864077669,-1.4109362230794,0.005659741895437134
42,204.2011,-0.006555635,-0.0006364694174757281,-1.3386678781985,0.0008520211646304682
43,109.979,-0.01197899,-0.0011630087378640777,-1.31743734121,0.0015321911394156483
44,174.4467,-0.007534983,-0.0007315517475728155,-1.3144529189061,0.0009615903299279458
45,101.9795,-0.01270512,-0.0012335067961165049,-1.29566178504,0.0015982076173152822
46,306.5972,-0.00414512,-0.0004024388349514563,-1.270882185664,0.0005114523461591806
47,104.2444,-0.01215043,-0.0011796533980582523,-1.266614285092,0.0014941658454379015
48,263.3841,-0.004718164,-0.00045807417475728155,-1.2426893787924,0.0005692439116699675
49,207.1178,-0.005920083,-0.0005747653398058252,-1.2261545667773999,0.0007047511462282765
50,165.2415,-0.007384629,-0.0007169542718446602,-1.2202471729035,0.000874861423319534
51,153.6765,-0.007797153,-0.0007570051456310679,-1.1982391830045,0.0009070732272311734
52,201.4814,-0.005579474,-0.0005416965048543689,-1.1241602327836,0.0006089536689951498
53,195.2104,-0.005743331,-0.0005576049514563106,-1.1211579418424,0.0006251632197358885
54,220.114,-0.005064539,-0.0004917028155339805,-1.114775937446,0.0005481384671317307
55,199.4568,-0.005604811,-0.0005441564077669903,-1.1179176666648,0.0006083220616715732
56,361.2088,-0.00308081,-0.0002991077669902912,-1.1128156831279998,0.00033285181405219154
57,205.11,-0.005466595,-0.0005307373786407767,-1.12125330045,0.0005950910374731523
58,162.9518,-0.006914906,-0.0006713500970873786,-1.1267963795308,0.0007564748587957094
59,187.9104,-0.006022949,-0.0005847523300970873,-1.1317747557696,0.0006618079255813355
60,167.3001,-0.006780483,-0.0006582993203883495,-1.1343754839483,0.000746758610148371
61,171.2295,-0.006610102,-0.0006417574757281553,-1.1318444604089999,0.0007263696438289757
62,158.6978,-0.007124127,-0.0006916628155339805,-1.1305832818206,0.000781982415899684
63,205.6202,-0.005424113,-0.0005266129126213592,-1.1153071998826,0.0005873351729977485
64,289.2357,-0.003982629,-0.0003866630097087378,-1.1519184866552998,0.00044540426898927274
65,131.1473,-0.008812914,-0.0008556227184466019,-1.1557898762322,0.0009889200758548566
66,244.4248,-0.004419884,-0.00042911495145631063,-1.0803292627232,0.0004635854391302978
67,225.2483,-0.004770204,-0.00046312660194174754,-1.0744803416532,0.0004976204294830545
68,258.5682,-0.004159079,-0.0004037940776699029,-1.0754055706878,0.0004342424005369558
69,197.9474,-0.005513476,-0.0005352889320388349,-1.0913782391623998,0.0005842026920916651
70,202.6472,-0.005354778,-0.000519881359223301,-1.0851307683216,0.0005641392587700584
71,201.3656,-0.005380115,-0.0005223412621359223,-1.083370085044,0.0005658888975821844
72,179.5651,-0.006010963,-0.000583588640776699,-1.0793591721913,0.0006299017522089838
73,175.7956,-0.006103815,-0.0005926033980582524,-1.0730238202140001,0.0006358775620562638
74,220.6887,-0.004858201,-0.00047167,-1.0721500630287002,0.000505701020228747
75,228.6246,-0.004731363,-0.0004593556310679611,-1.0817059733297998,0.0004968877300088933
76,182.1343,-0.005927214,-0.0005754576699029126,-1.0795489728402,0.0006212347364567041
77,238.268,-0.004530487,-0.00043985310679611647,-1.079470076516,0.0004748082668490041
78,122.6217,-0.008828844,-0.0008571693203883495,-1.0826078603148002,0.0009279782438731224
79,140.5321,-0.007643007,-0.0007420395145631068,-1.0740878240247,0.000797015607537432
80,179.2712,-0.005953158,-0.0005779765048543689,-1.0672297784495999,0.0006168337372248023
81,204.761,-0.005183032,-0.000503206990291262,-1.061282815352,0.0005340449313611171
82,191.6066,-0.005534565,-0.0005373364077669902,-1.060459182129,0.0005698233275087172
83,166.5502,-0.00633807,-0.0006153466019417475,-1.055606826114,0.000649564073435763
84,182.9883,-0.00574591,-0.0005578553398058252,-1.051434302853,0.0005865482403015612
85,220.2057,-0.00477081,-0.00046318543689320387,-1.0505595556170002,0.00048660388675079037
86,174.2688,-0.006029625,-0.0005854004854368932,-1.0507755132,0.0006151244955124806
87,212.1927,-0.004943619,-0.0004799630097087378,-1.0489998633813,0.0005034811316125435
88,159.1377,-0.006594172,-0.0006402108737864077,-1.0493813654844,0.0006718253609319414
89,156.2945,-0.006713575,-0.0006518033980582524,-1.0492948478375,0.0006839339473854994
90,158.3772,-0.006628612,-0.0006435545631067961,-1.0498210084464,0.000675617100431059
91,212.7718,-0.004925412,-0.0004781953398058252,-1.0479887769816,0.0005011433493214074
92,205.2227,-0.005112482,-0.0004963574757281553,-1.0491973597414,0.0005207769530218866
93,205.0259,-0.005118703,-0.0004969614563106795,-1.0494666894077,0.0005215444943175982
94,185.3621,-0.005669595,-0.0005504461165048544,-1.0509280353495,0.0005784792557842086
95,190.0942,-0.005547765,-0.0005386179611650485,-1.054597949463,0.000568025397388602
96,232.0827,-0.004562197,-0.0004429317475728155,-1.0588069976919,0.0004689792338299992
97,279.646,-0.00379116,-0.000368073786407767,-1.0601827293600001,0.0003902254714796561
98,404.6608,-0.002644011,-0.0002567000970873786,-1.0699276064688,0.00027465052045700755
99,168.356,-0.006392537,-0.0006206346601941747,-1.076221959172,0.0006679406499242232
100,195.8331,-0.005500125,-0.0005339927184466019,-1.0771065291375,0.0005751670435507175
101,163.5804,-0.006610406,-0.0006417869902912621,-1.0813328576424,0.0006939853602093656
102,173.951,-0.006204709,-0.0006023989320388349,-1.079315335259,0.0006501784052931586
103,181.5412,-0.005961503,-0.0005787866990291262,-1.0822584084236,0.0006263967717080113
104,223.672,-0.004841967,-0.0004700938834951456,-1.083012442824,0.0005091175251206985
105,118.9935,-0.009155192,-0.0008888535922330096,-1.089408339252,0.0009683245157527374
106,148.6286,-0.007346547,-0.0007132569902912621,-1.0919069954442,0.0007788102972485049
107,208.4597,-0.005170742,-0.000502013786407767,-1.0778913260974,0.0005411163059502449
108,201.6208,-0.005379053,-0.0005222381553398058,-1.0845289691024,0.0005663824082366186
109,194.7555,-0.005608452,-0.0005445099029126213,-1.092276873486,0.0005947555743355634
110,225.8354,-0.004890062,-0.0004747633009708737,-1.1043491077948,0.0005243044278408985
